id,zone_id,year,month,day,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
11,11,2005,3,6,108900.2974,106021.6968,105594.2289,104902.7827,106882.3142,108535.3251,116780.0096,127281.5243,124128.849,117877.5037,107321.21,100849.7514,93755.83352,89633.65187,88042.66923,86611.40775,87264.9345,93715.41394,99227.33348,103455.7705,103904.9863,98599.82873,89951.66194,81448.16073
12,12,2005,3,6,142251.6476,136612.7855,136727.4889,135124.6118,136965.6652,139322.3881,149322.3088,158268.9843,157865.4675,153403.8945,139760.7206,131181.0828,122267.1846,116754.1985,114234.658,111653.3323,113191.494,123492.9565,130728.8897,138121.3841,138929.8084,133343.3874,122062.5021,109287.2348
13,13,2005,3,6,21516.8568,20446.99222,20211.52637,19725.97278,20701.3017,20121.19484,21275.99158,23171.13049,24327.27934,23954.70665,22577.5665,21305.07128,20017.1583,19339.16122,18837.59881,18119.29986,18460.45661,19529.22409,20433.9231,20735.03958,21003.98595,20523.48985,19271.66053,17294.31494
14,14,2005,3,6,26596.21596,25126.27862,26064.59741,25779.07654,27536.20956,27922.97543,28725.74962,30258.9013,30221.72493,27279.99564,23564.16751,21251.68742,19211.73634,18546.03796,18061.84563,17501.99363,17638.76413,18877.76752,19885.68724,20660.35112,21077.64431,20438.28798,19344.39058,17213.46057
15,15,2005,3,6,71789.48446,69159.73713,68773.70794,67874.85368,70572.9317,70533.82922,73609.75838,76235.49509,76250.05497,70055.185,62933.7725,58010.07074,53608.90617,51850.79782,50803.73758,49485.86446,49855.78699,52046.72202,54512.26486,56277.46584,57353.23829,57278.53651,55264.12345,51660.17394
16,16,2005,3,6,36732.74398,36428.806,37027.72405,37549.98063,39177.83403,39917.93261,41665.45357,43798.62495,42061.94278,38014.7667,33560.73539,30170.45068,27834.80086,26302.44052,24894.99315,23967.10174,24223.54243,25455.02015,27408.03882,28750.91364,28843.03988,27877.63354,26484.37512,24673.17248
17,17,2005,3,6,34992.32603,34019.84176,34523.33393,34748.92179,36322.89992,37728.72405,38958.49912,40517.91796,39073.40142,35227.81316,31190.96589,29204.8385,27137.15515,26518.6618,26189.7871,25890.50383,26094.6484,27378.97864,28535.9699,29437.30632,29981.50409,29296.12105,28093.27256,25878.7255
18,18,2005,3,6,250460.3895,246926.7794,251378.9385,252767.7328,262227.4632,270447.0387,272916.4463,284505.6302,279644.4449,254259.6082,224735.9957,210543.5376,190885.3227,181871.6332,178319.5296,171927.4475,171372.4568,184495.3743,197096.1294,206911.7047,211566.2774,202388.0011,189210.5325,169251.6501
19,19,2005,3,6,93049.05068,89242.16054,90969.6238,89180.42864,94094.99601,95256.56596,98829.48971,104220.3984,103637.9228,92815.26138,81158.80949,74244.30386,68189.29371,65380.87385,64043.43437,61690.72515,61604.47156,66579.52402,71289.70998,73972.20645,75614.86707,73716.39385,69809.25228,61290.11513
20,20,2005,3,6,86742.34644,84037.83238,82865.14351,83666.5785,85877.83067,83506.23914,88252.38805,95204.59907,96434.33859,93485.62676,88236.13774,85561.78624,80387.02182,77864.10874,77194.3497,76268.34023,77856.74285,82117.85101,84488.73191,86291.21537,87595.27565,85383.20612,79431.32673,71278.84752
21,21,2005,3,6,1688940.02,1646134.78,1646848.246,1652671.216,1691484.125,1715515.615,1803230.443,1906144.737,1880164.376,1793486.736,1668902.621,1600207.295,1502197.448,1448096.894,1425565.408,1391074.184,1385017.328,1462445.488,1525681.706,1583409.922,1602351.095,1552150.475,1453634.482,1330124.387
22,1,2005,3,7,13787.42301,13528.58875,14437.22727,14249.17218,14684.82296,18590.97974,20734.38112,21405.502,19739.6419,17900.06639,16038.22468,14518.90757,13841.05359,13851.09868,13458.35026,13440.99245,13851.19564,15249.57832,16482.0248,17019.9015,17252.65624,16381.30474,14475.93764,12654.2953
23,2,2005,3,7,132697.5112,127755.9327,132038.394,131037.9516,137311.4372,148949.4912,167080.7006,176850.7794,176540.1434,172622.3753,167359.554,160671.2215,158625.1047,154361.7741,152776.1343,153485.9039,155015.1554,161080.9524,165027.7909,165664.6115,166359.9989,160410.0477,148937.1936,136106.1634
24,3,2005,3,7,143877.4897,138425.4751,142254.5241,142299.6492,148500.6123,160873.8915,181419.3081,191797.6291,191504.984,186794.6861,180564.4603,173936.7647,172107.0346,167268.7284,165787.087,166400.1865,168068.0572,174744.7245,178903.3359,179138.0076,179787.62,174116.2989,161687.6002,147883.4314
25,4,2005,3,7,382.2792247,360.7435404,400.917981,402.5985987,417.5133661,449.3099933,530.2315085,551.9483479,541.7130282,534.960333,502.2181552,476.1563973,446.9460641,428.931886,421.0122784,416.2426843,442.5150164,490.4786202,519.5729979,531.4610278,535.9677298,511.5077478,459.9823722,398.6011978
26,5,2005,3,7,5763.431865,5532.679528,5870.957452,5752.183631,6182.460214,6962.643103,8447.645861,8594.700265,8205.26331,7738.762134,7111.992036,6278.428244,5976.916487,5737.590268,5613.817343,5552.726425,6035.997694,7002.016531,7811.393867,7937.446586,8007.614795,7515.290982,6509.523699,5472.634885
27,6,2005,3,7,138597.5154,133672.7562,137627.0434,137490.9202,143747.3107,156922.5626,176362.3,185829.2481,184933.3276,180197.5956,174068.3318,166961.9046,164744.3206,160198.8128,157962.492,159143.6401,161400.0946,168519.7197,173780.2578,173414.5562,174123.7451,168130.2571,156031.127,142115.8521
28,7,2005,3,7,143707.5321,138543.1011,141957.1725,141984.7491,148257.4787,161189.5743,180836.3516,191325.8649,190722.9936,186088.437,179858.1998,173083.5289,171167.4257,166328.92,164729.1482,165466.8318,167253.5009,173932.1459,178825.1691,178658.8217,179066.0352,173260.826,160864.4941,146756.3839
29,8,2005,3,7,2804.613985,2690.066983,2749.649944,2835.058847,3204.563096,3661.50907,3992.238822,3993.573696,3833.129028,3696.770978,3507.031854,3329.592224,3236.861117,3174.811014,3127.812267,3130.156942,3305.23072,3602.979323,3791.420171,3836.887709,3785.631651,3624.462823,3245.526265,2831.997997
30,9,2005,3,7,74215.10577,74928.77345,74319.68801,74558.3074,74227.51966,71264.34829,66838.79894,66064.51127,65769.58141,67532.73831,68433.87407,69069.64127,70115.63442,70511.89773,71507.3618,71815.93725,72232.62158,71756.71013,71252.95464,70983.60581,72459.29926,73833.59787,74268.71009,74769.92008
31,10,2005,3,7,20102.4932,18355.8934,21248.32167,22570.38142,22515.28989,28588.61453,31372.41286,35234.41912,33364.1414,26999.5827,25038.42449,23979.2942,22970.74119,24259.32239,24331.8931,24206.82012,23985.48338,25368.79847,25885.36639,26651.22646,27272.35401,26738.79049,24544.57124,21914.9679
32,11,2005,3,7,76533.71472,72449.8685,76303.82688,76661.82325,78194.87152,87894.55941,103955.7886,112573.8546,105622.1876,99203.22416,94510.55812,88610.57647,84803.14854,83439.74474,82463.76207,82911.66738,85314.25302,92542.29442,98835.79697,100691.1683,101632.0074,97675.46606,88960.74294,78705.53606
33,12,2005,3,7,101115.6258,93452.38185,98271.48685,100359.1523,100891.8563,113027.3651,130548.1896,137389.8901,124656.7986,116766.0201,110891.5201,103127.4037,99188.0407,96775.31332,93900.4541,95630.9363,101458.3535,115038.6068,124014.0791,126844.8611,128609.1398,123874.9285,112351.5672,98091.74558
34,13,2005,3,7,15869.95938,15120.42312,15342.17311,15384.61595,16185.81659,18956.946,21448.2949,22150.6551,21731.1756,20862.46751,19733.07262,18558.66239,17859.45699,17368.72094,16967.99738,16789.38445,17233.30471,18249.38131,19366.40849,19607.74585,19735.11493,19483.59394,18297.07111,15943.79128
35,14,2005,3,7,16124.58976,15940.54466,17016.97151,17077.66078,17636.25871,21289.43741,22902.21222,23861.78156,20173.19774,18520.74539,16726.0355,15271.8249,14442.99862,14094.8564,13842.32019,13832.5762,14594.88379,16738.96675,18447.90979,18978.22092,19191.96264,18845.13094,17612.27537,15147.54359
36,15,2005,3,7,49482.83172,49441.15124,52031.32548,51494.5546,52109.73175,59649.11887,65892.2523,68293.61622,63369.40084,59237.87717,54409.83481,50742.15356,48089.41183,47993.90498,47638.16351,47310.6033,48059.37009,50067.44648,52965.63011,54074.0831,54796.66702,54578.0068,52936.6751,47776.66417
37,16,2005,3,7,22986.35886,22559.80088,24024.4195,24267.81278,24729.31453,26467.71174,30194.74001,31417.56708,29633.21872,26522.99324,24662.93417,21673.55803,20448.53149,20194.35638,19552.09201,19577.35417,20666.81483,22966.87334,24818.13815,25364.84374,25686.00837,25230.92952,23352.6965,20469.19654
38,17,2005,3,7,24942.01962,24446.30938,25819.96005,25512.92793,26098.32536,31381.06312,34507.57109,35256.03544,31810.69856,29463.57618,27706.62207,26266.8038,25236.75467,25055.92907,24926.01784,24968.51636,25519.85372,27296.11359,28793.21476,29804.12104,30173.06625,29379.28364,27791.41882,25079.37721
39,18,2005,3,7,159140.2509,151991.301,163983.9374,161197.9377,168702.338,189422.1279,221319.8433,224317.3891,215393.5044,201827.4122,186467.8383,168854.3787,160500.5231,156910.6968,154042.1934,153264.5009,159111.0304,172890.3272,189554.8608,193022.6349,194502.5919,186449.8891,168840.7607,147739.6512
40,19,2005,3,7,58292.38902,57531.41082,62140.95853,60809.68555,62648.36463,78881.16667,87156.4204,88772.35121,80194.88054,73863.20115,65243.10862,58858.62927,55703.2493,54879.63615,54318.89446,53657.39806,56699.46603,62073.97398,68182.29775,70040.19838,70495.3341,68232.0235,63028.94353,53768.55529
41,20,2005,3,7,67837.7401,64836.95374,66510.67419,66712.48643,71141.1308,81528.82664,91047.39896,94275.84397,92556.15669,88754.4793,83951.01001,79372.86206,77518.9541,76106.6172,75282.50942,75508.87701,78037.65261,83761.61142,87153.03785,87667.46737,87694.95425,85581.02136,79734.29732,70868.35971
42,21,2005,3,7,1268260.975,1221564.156,1274349.73,1272659.83,1317387.016,1465951.248,1646586.881,1719957.061,1660296.438,1585128.072,1506784.846,1423642.293,1387023.208,1358941.864,1342649.312,1346511.252,1378284.835,1463373.799,1534410.561,1549931.971,1561167.77,1513852.757,1403931.315,1264494.569
43,1,2005,3,8,12212.04908,11900.0842,11774.99894,12201.40532,12853.00351,14723.49384,17080.5972,18852.97993,19494.11276,19800.85135,19746.15201,19673.81172,19362.18302,19462.05534,18635.82176,19520.69376,21038.61506,23308.36793,25178.37268,26519.10503,26332.62119,25142.59107,23558.90726,22589.1601
44,2,2005,3,8,130302.4587,128673.8239,128935.7904,128917.0217,133438.4905,146200.9222,162695.0064,180346.0087,189567.678,199371.6583,208094.8908,206061.0807,205512.8283,206959.979,205390.3543,207409.1835,212619.8162,219295.5574,224355.6636,227913.2829,228400.6051,220474.5857,208630.9242,198241.5511
45,3,2005,3,8,141764.7451,139332.6841,139364.0206,139254.499,144364.1253,157726.2194,175699.529,194215.0471,204667.5933,214980.6124,223925.5018,222208.709,221996.3542,224099.1222,222795.559,224366.7638,229854.7039,236107.1984,241538.913,246345.9111,246746.1003,238281.4935,225969.0556,214791.8697
46,4,2005,3,8,377.3494041,373.5857087,399.202368,400.0377905,416.3234965,445.3877021,493.8567633,550.5980343,572.3280409,582.2126562,570.3756751,543.5200973,559.0278506,554.924294,552.8251522,560.0994266,600.8524312,660.4802315,707.4560588,721.2308792,711.7304948,681.0802562,635.9774314,592.3981563
47,5,2005,3,8,5009.62592,4841.215722,4920.889854,4954.365526,5356.225703,5999.316315,7387.811202,8284.707006,8531.359681,9099.775738,9478.226481,9382.91246,9270.925888,9108.663379,8745.762505,8706.693323,9392.571345,10578.31908,11495.71407,11921.59786,11841.27564,11283.90263,10248.65458,9271.24647
48,6,2005,3,8,136274.0774,133992.1161,133777.6335,134401.5144,138511.443,152796.9407,169609.2715,188529.7314,198003.1497,208691.6582,217370.1421,215560.7706,214779.0818,216944.6489,215721.2685,216677.0521,221347.0682,228930.1183,235716.6041,240046.5526,239177.9277,231214.7802,219844.8293,207675.8497
49,7,2005,3,8,141820.4581,140197.9859,139839.2374,139875.1091,144418.3735,158222.8518,176129.224,194382.7992,204305.8561,215437.6337,224733.1595,222657.4073,222068.9519,224053.016,222990.2647,223995.5808,228799.1835,235700.9559,241475.0123,246192.8586,247149.0397,238365.5878,226277.22,214361.4455
50,8,2005,3,8,2706.656405,2663.841784,2707.816768,2850.698242,3054.734982,3375.313564,3755.581001,4097.101054,4230.175741,4423.234394,4503.151059,4399.146927,4477.234031,4523.719631,4600.89741,4744.700362,5015.389186,5383.107652,5627.320258,5634.880719,5544.099087,5218.666945,4913.469296,4725.922178
51,9,2005,3,8,75004.11731,76599.93529,76593.80758,77368.28167,76926.05356,73829.14473,70218.75291,68172.45948,67391.68535,66607.31144,65301.52059,66188.47647,66368.00393,67284.32518,68576.04588,69732.23097,68723.58837,64285.05345,63351.01615,63227.45091,65926.2723,71156.47345,74180.25551,73519.90957
52,10,2005,3,8,19664.8,18391.52359,18817.19001,19575.28743,21083.37895,24192.24498,28182.18467,30489.96201,28884.46747,30268.69303,32517.32563,32883.91224,34061.522,36846.60675,44099.55515,46040.45289,41040.41191,38729.42871,40803.92609,41093.21771,39571.62229,37566.97754,36172.25314,37044.97106
53,11,2005,3,8,72257.36532,70477.27579,69811.42965,69533.74692,70737.38009,78973.27316,92473.63644,101487.5802,103791.4849,107506.2316,111165.8141,116698.4016,118977.5619,123913.3975,126810.082,127648.8237,131106.4132,137562.7233,143686.7093,147936.7385,147634.4253,143865.6182,136110.908,131373.6489
54,12,2005,3,8,87551.58963,83031.7999,81457.48927,80743.05662,82547.55871,95484.88012,111277.7033,118869.858,120103.4587,123487.6035,128027.364,135824.477,141053.2945,148281.6325,153284.6458,155402.3032,161491.618,173494.934,184671.6711,190322.5686,188634.4098,179947.6414,169900.3272,159206.4925
55,13,2005,3,8,14661.15328,14163.69494,14099.83143,14620.53543,15231.32771,16955.12045,19588.00452,22284.15989,23369.48544,24488.6702,24638.33078,24083.65673,23753.55283,23612.8845,23392.21432,23979.61911,24839.58686,26557.07969,28101.48228,28654.82879,28694.60747,27645.21437,26437.78422,24916.61672
56,14,2005,3,8,14112.47831,13459.99761,13585.19454,14105.41889,14753.95629,16164.74549,17428.18338,17436.97646,17043.4242,17527.54393,17334.3091,19002.33782,22266.52589,23741.33444,23123.93983,21703.76317,22520.11127,24959.92379,27117.76144,28661.92997,29085.43632,28711.56298,28252.69623,26330.84436
57,15,2005,3,8,45906.30328,44521.22884,44816.8737,45320.10029,47037.27926,50003.28196,55257.84853,58817.98215,60124.44769,62734.42289,64258.04513,64133.92014,63057.72807,64359.7106,61595.37179,61865.39793,64847.24046,69557.3049,74621.73837,78184.82925,78263.88325,77479.97521,77042.29901,72368.91525
58,16,2005,3,8,19029.80574,18304.94816,18554.04558,18579.98287,19962.02628,22458.90324,25313.42632,27307.595,28416.8204,30557.69747,32666.03066,35057.98486,36134.0774,36913.0408,36027.48535,34952.87527,36441.43694,38540.78429,41407.51223,43701.40742,44185.05411,43582.58237,42009.05049,39716.50585
59,17,2005,3,8,23492.61913,22818.28932,22613.39727,22999.05261,24042.22099,25921.36843,28667.49812,29251.12014,29558.34924,30298.49382,31362.49893,33395.6158,35265.68836,35863.66674,34467.48759,33429.91613,35210.54192,37305.7436,39743.80671,41558.15084,41863.82586,40905.79721,39426.49432,37819.4136
60,18,2005,3,8,135578.8975,132435.2513,131912.4284,132679.1675,144130.9654,162449.9769,190123.3761,203720.5142,216361.3528,235613.0277,249672.3947,258516.4358,257090.9936,257580.9599,248024.7889,245100.5109,254722.0661,270297.5285,289889.3498,304892.193,307927.4282,299693.1422,284372.0588,268710.1176
61,19,2005,3,8,49887.57019,47779.94938,48904.81694,49885.48236,53695.54522,59259.22697,69514.15065,72593.72414,74622.47418,77303.46408,81187.72662,81415.28003,83284.43096,82477.04741,78240.395,78244.40403,84757.37718,94015.2548,103751.0437,110329.8763,110308.9168,106716.7924,102409.1679,95918.29762
62,20,2005,3,8,65413.53707,63314.25933,62679.44482,64149.15868,67954.83155,74000.20623,85985.16167,96358.57876,98837.83055,103071.1016,103773.0149,102432.8012,102752.2919,102370.2623,101624.8839,103094.4643,108141.5379,115311.6373,119756.3069,122438.5829,122430.5248,118091.2365,113042.2723,106181.4214
63,21,2005,3,8,1193027.556,1167273.591,1165565.439,1172413.923,1220515.344,1339183.018,1506880.804,1636049.482,1697877.534,1781851.997,1850326.074,1870120.558,1882092.058,1908950.997,1898699.549,1907175.528,1962510.13,2050581.601,2142997.38,2206297.093,2210429.706,2146025.502,2049434.604,1945356.298
64,1,2005,3,9,22482.79423,22880.14615,23419.68717,23649.12436,24085.19192,27015.44715,29338.22373,30205.95125,27445.50222,25753.97874,24389.61798,22347.627,21038.26804,20383.84776,19811.94673,19438.49494,20300.45894,21952.10405,23300.52856,25684.4159,27686.63505,26728.04494,24524.62275,23207.57872
65,2,2005,3,9,188786.5031,185335.8645,188783.1895,189499.8455,197763.2236,213005.181,233464.0998,238186.7444,229963.7166,227510.0387,223421.2004,214990.8751,211934.3248,208903.6893,206770.2912,201223.7789,204250.6574,216464.3592,222329.3264,225166.8349,232626.962,219494.0554,208281.2733,198348.8181
66,3,2005,3,9,203714.0176,201458.0863,203661.0709,204308.124,213451.2246,229770.4137,251748.9632,256508.4785,247198.8755,245312.728,241029.1641,232236.7279,229173.1885,225722.6754,222857.9371,217709.6367,221119.2072,234442.1518,240393.1356,243240.6697,251776.5011,237224.1727,225376.2561,214371.8761
67,4,2005,3,9,557.0204798,550.4078676,555.324758,563.0699178,567.949831,604.0561157,680.5237306,703.4061754,675.9345442,654.2116,629.5559272,603.6125238,577.2523363,555.4868456,556.0620834,538.128665,579.3570895,648.7802015,694.5340443,718.0175734,741.0372155,699.5602825,651.0475188,613.3639325
68,5,2005,3,9,8856.823486,9085.204233,9485.842227,9499.868963,10107.56647,11304.63677,12760.18692,12936.23174,11787.22153,10801.05005,10044.54352,9302.953761,8960.991486,8647.83798,8330.302183,8199.858018,8952.447202,10297.87229,11155.69282,11807.32827,12232.89638,11538.08125,10750.48079,10241.0267
69,6,2005,3,9,197169.5911,193727.0055,196782.8173,198182.2959,207133.8679,224084.048,245842.2138,250765.0364,242133.471,238868.9627,233549.2549,224756.6762,221062.0578,217718.1702,214906.7261,209625.6216,213426.6118,227287.9106,233739.8155,237266.0803,245084.4742,230969.4565,218726.0871,207791.2509
70,7,2005,3,9,203111.3337,198804.7508,202721.8527,203474.0239,211984.7283,229500.3545,251566.193,256496.123,247974.5853,246176.1566,241950.2407,231850.1692,228723.0195,224889.2486,222755.7204,217455.0875,221038.2651,233709.906,240294.6161,242952.2332,251213.7761,236637.6226,224731.9033,213280.7796
71,8,2005,3,9,4442.153563,4384.554399,4487.92248,4608.379238,4872.719539,5235.181405,5591.540177,5677.983938,5226.187181,5072.701603,4903.276224,4737.835944,4556.745343,4461.439566,4482.309458,4358.270273,4620.661041,5148.202951,5394.422202,5476.437707,5743.056883,5223.886586,4858.066031,4578.178261
72,9,2005,3,9,75637.37198,75760.71924,73848.20524,74778.33157,74190.56874,59392.64944,45115.68318,38773.84543,50449.55866,55479.74627,59724.37076,62018.5834,63833.41037,65174.34475,65489.6455,65796.02545,65534.85533,63591.93731,62818.10751,60109.36213,61002.7011,66280.6826,70535.44385,72312.48847
73,10,2005,3,9,37762.29045,40328.72662,44413.26476,44432.75254,45653.98572,40748.45873,41649.43753,41581.01936,38784.17872,36890.63296,37417.77923,34284.38704,32950.88823,33558.2168,35983.09364,34634.23401,36027.12188,38317.76314,39595.51447,44937.60893,45501.34889,42031.72981,39364.0696,36219.52483
74,11,2005,3,9,126796.5595,124362.9628,130224.6532,131689.166,137971.4974,148563.7478,161476.6164,163722.5503,153376.0989,144737.0022,139053.1528,132968.6072,129123.4647,125896.4967,125222.5952,122166.7631,126249.4151,137120.053,143138.9115,148413.7102,152904.0283,145156.6428,138387.4696,130105.536
75,12,2005,3,9,155937.8932,152037.7035,160669.6125,162594.1582,169252.7471,184507.517,203366.027,203706.4248,185188.6561,175047.1493,167039.2484,161437.6309,154482.6315,148899.565,148199.7686,147281.871,156430.7507,173080.979,182633.6021,191536.9269,195318.6346,186582.8265,175851.2248,165008.9864
76,13,2005,3,9,23302.70348,22715.35993,23191.48845,23144.45569,23629.68863,25441.70746,27945.75578,28953.00544,27890.25774,27277.04416,26321.11976,25304.81623,24387.94834,23643.73431,23281.72017,22622.44961,23309.62915,24634.77753,26077.01137,26942.19826,28762.06843,27256.2852,25898.88442,24573.79999
77,14,2005,3,9,25330.69915,26134.18265,27506.75652,28491.87677,29417.57979,32073.44123,34443.0147,34267.99975,30161.28252,28137.51016,26247.18874,24740.22868,22983.23439,21926.89516,21111.84504,20962.01945,22191.81421,24322.94234,26472.33791,29978.67793,31541.37174,31367.22699,30276.02324,28067.67027
78,15,2005,3,9,70600.95534,71807.77183,74146.89791,75154.44056,76377.95634,80283.4577,86068.97171,88927.55809,82191.16393,77223.91117,74099.94634,69484.91794,65093.91076,63529.99847,60893.02438,60578.39986,63070.23725,65392.23122,69462.34802,77885.54775,81412.4099,82372.87345,80560.00227,75813.44679
79,16,2005,3,9,38791.05318,39931.39242,42316.23541,43527.10767,45143.91689,47779.09101,49803.80468,50418.87015,46405.20637,43577.54905,40924.71976,38053.57449,35941.38771,34607.01305,33091.46234,32712.02151,34085.74011,36722.15325,39392.65152,41988.06489,44781.85957,43791.47524,42944.14451,41530.08027
80,17,2005,3,9,37320.26256,37686.07875,38878.84903,40275.77106,41583.73828,46177.43282,48930.12901,49459.75748,44511.97313,40741.12516,39115.08601,37123.13197,35120.37317,34562.69141,33315.53008,33356.8661,34525.56977,36484.1303,38268.87454,42767.28125,44477.7619,44165.6963,42426.86375,39864.71576
81,18,2005,3,9,260060.9433,267411.2262,279372.3014,283421.2613,299014.1747,323598.7509,350824.3187,353184.2853,324009.0512,302237.3691,280397.2108,260639.2465,248364.5164,239154.9562,230394.9866,224789.3298,236301.4977,255773.561,274483.3454,294390.759,314674.4137,306989.9022,294213.4582,286111.1391
82,19,2005,3,9,92339.19212,95693.17531,100589.7759,103804.0228,106131.6202,116932.9419,124174.1897,128019.2018,113999.5875,104515.8465,98915.14116,90650.6893,85416.08875,81798.15809,78509.74374,77461.22325,82053.67436,88808.8972,97183.69016,108583.8186,115765.644,115402.2862,109198.1822,100991.7667
83,20,2005,3,9,100570.6344,99150.90941,99717.90439,100958.8353,103742.1871,111097.5989,120330.2019,123696.1786,117198.3023,114621.1525,111145.5212,106255.7817,103370.6876,101040.4005,100703.7816,98499.72284,102251.6737,110204.6359,114532.9326,116624.9982,124146.3412,117169.5639,110802.9527,104896.9626
84,21,2005,3,9,1873570.696,1869246.128,1924773.452,1946057.011,2022076.233,2157116.213,2325120.095,2356190.452,2226570.911,2150635.667,2080317.538,1983788.273,1927094.69,1885074.966,1856668.593,1819409.902,1876319.845,2004405.349,2091361.598,2176470.871,2267394.022,2177082.172,2078358.555,1977928.89
85,1,2005,3,10,23098.70557,23291.1147,24196.39242,24775.72819,25662.10181,28360.52478,30166.71492,29932.61911,26415.02496,23998.67593,22322.53278,20369.25664,19309.63556,18072.79015,17506.30545,17203.53439,17669.69419,19725.26829,21161.78833,23572.50441,24140.59107,23194.04377,20835.89292,19797.56721
86,2,2005,3,10,196397.9065,193897.0761,199322.9104,199778.0914,203560.9523,218203.8172,233012.7306,234229.3636,226360.5219,219695.8378,216520.1135,209248.8232,200217.566,194204.7389,191043.3341,188071.6577,191036.9626,200742.3333,206090.0027,213187.7477,214740.4039,204290.1898,190762.2501,178404.4945
87,3,2005,3,10,212867.5708,209917.9375,215958.2138,216371.533,220369.095,235653.6054,251632.1957,252491.0694,243927.9541,236549.7103,232976.8408,225468.459,216353.5379,209713.6811,206043.7314,202539.8726,206007.7321,215699.2833,222332.3271,230070.7073,232352.6429,220562.4112,205904.6096,191905.9397
88,4,2005,3,10,585.2695277,575.1687501,584.8147686,594.5324792,593.224336,636.7708019,696.5067973,704.389999,664.0907081,635.1601011,610.9814647,568.6043841,536.2472697,520.9253925,519.7296692,515.9258659,549.2081598,614.9765078,665.7477675,697.5511395,690.3824719,666.1948248,602.3379812,549.8452337
89,5,2005,3,10,9926.038184,9959.997477,10370.62037,10513.6971,11169.0513,12123.16447,12878.34735,12722.38918,11374.0816,10357.1115,9596.765186,8781.279304,8242.47356,7667.143189,7524.528079,7441.857279,8068.191355,9262.903171,10210.68047,11152.74904,11187.18294,10497.39828,9060.189511,8111.714236
